Visibility,Fidelity
1.1102230246251565e-16,0.9999999999999999
0.0003856536638660035,0.9992298806696334
0.001540830828030304,0.996937215276426
0.0034601937548422446,0.9931740883971136
0.006134891882194904,0.9880240996509442
0.009552629807882074,0.9815978943943802
0.013697761441825884,0.9740275356018757
0.01855140931735111,0.9654602272158834
0.024091607788455427,0.9560519054508057
0.03029346859326204,0.9459611585933503
0.0371293670378085,0.9353438357405646
0.04456914685193081,0.9243485827890623
0.05258034159281516,0.9131134208586938
0.061128410323881,0.9017633743889752
0.07017698517869336,0.8904090730638758
0.07968812833274735,0.8791461968380012
0.08962259585086618,0.8680556050366259
0.0999401058548256,0.8572039840779409
0.1105996084642975,0.8466448578032111
0.12155955500353388,0.8364198237313833
0.13277816403513437,0.8265599026921673
0.1442136818791015,0.8170869143966832
0.1558246353981142,0.8080148150133244
0.1675700749761977,0.7993509532672456
0.1794098057850227,0.7910972183587706
0.19130460561704504,0.7832510660640428
0.2032164277644833,0.7758064190580423
0.21510858763453855,0.7687544442809116
0.22694593201097452,0.7620842146046939
0.2386949900969278,0.7557832646805065
0.2503241057003619,0.7498380521262771
0.26180355014874834,0.7442343355447035
0.2731056157403853,0.738957480552143
0.2842046897534026,0.7339927042903759
0.29507730923740194,0.729325267960398
0.30570219700450224,0.7249406258852478
0.31606027941427894,0.7208245385621148
0.32613468670897583,0.7169631561571669
0.335910736800033,0.7133430779621667
0.3453759035333281,0.7099513924869528
0.35451977056784495,0.7067757021124114
0.363333972090332,0.703804135573938
0.3718121216567939,0.7010253509805219
0.3799497305005652,0.6984285315919947
0.3877441166767265,0.6960033761681296
0.39519430642445114,0.6937400853592882
0.4023009291234868,0.6916293453206722
0.40906610719952013,0.6896623094929666
0.41549334229696694,0.6878305792940907
0.4215873989882305,0.6861261843035124
0.4273541872272203,0.684541562386575
0.4328006446835588,0.6830695400967741
0.4379346200140755,0.681703313604776
0.44276475804157017,0.6804364303307981
0.4473003877190678,0.6792627713988316
0.4515514136624967,0.6781765349846977
0.45552821193742526,0.6771722205930532
0.4592415306876552,0.6762446142695626
0.46270239609641833,0.6753887747321243
0.46592202407590466,0.6746000203881798
0.4689117379889418,0.6738739171927705
0.4716828926188262,0.6732062672933853
0.4742468045203856,0.672593098402109
0.4766146888080205,0.6720306538325795
0.4787976023652537,0.6715153831383671
0.4808063933956315,0.6710439332901807
0.4826516571769217,0.670613140331456
0.484343697829596,0.6702200214551389
0.4858924958665988,0.6698617674485159
0.4873076812543116,0.6695357354576171
0.48859851168425966,0.6692394420277896
0.4897738557312163,0.6689705563823232
0.4908421805556329,0.668726893906405
0.49181154379636155,0.6685064098090046
0.492689589293034,0.6683071929404416
0.4934835462757453,0.6681274597483018
0.4942002316623778,0.6679655483589112
0.49484605511050134,0.6678199127757422
0.49542702648078607,0.6676891171898257
0.49594876538177507,0.6675718304004771
0.4964165124811938,0.6674668203473718
0.49683514228625714,0.6673729487572617
0.49720917711422713,0.6672891659103526
0.4975428019943574,0.6672145055326792
0.49783988026295295,0.6671480798216429
0.4981039696342228,0.6670890746123395
0.4983383385505934,0.6670367446923862
0.49854598263690725,0.666990409272737
0.49872964110320817,0.6669494476214672
0.49889181296040996,0.666913294866809
0.49903477293188614,0.6668814379747987
0.49916058696176907,0.6668534119059029
0.49927112723740147,0.6668287959538506
0.4993680866588617,0.6668072102687558
0.4994529927027446,0.6667883125654269
0.49952722064038463,0.6667717950165999
0.4995920060824639,0.6667573813297158
0.49964845683246195,0.6667448240048017
0.49969756404070637,0.6667339017700381
0.4997402126589226,0.666724417190713
